氏名,ふりがな（姓）,ふりがな（名）,ローマ字（姓）,ローマ字（名）,会派,選挙区,当選回数
氏名,ふりがな,,Furigana,,会派,選挙区,当選回数
海江田 万里,かいえだ,ばんり,Kaieda,Banri,立憲,東京1,9
河西 宏一,かさい,こういち,Kasai,Kouichi,公明,（比）東京,2
梶山 弘志,かじやま,ひろし,Kajiyama,Hiroshi,自民,茨城4,9
勝俣 孝明,かつまた,たかあき,Katsumata,Takaaki,自民,（比）東海,5
勝目 康,かつめ,やすし,Katsume,Yasushi,自民,京都1,2
加藤 鮎子,かとう,あゆこ,Katou,Ayuko,自民,山形3,4
加藤 勝信,かとう,かつのぶ,Katou,Katsunobu,自民,岡山3,8
加藤 竜祥,かとう,りゅうしょう,Katou,Ryuushou,自民,長崎2,2
金子 恵美,かねこ,えみ,Kaneko,Emi,立憲,福島1,4（参1）
金子 恭之,かねこ,やすし,Kaneko,Yasushi,自民,熊本4,9
金子 容三,かねこ,ようぞう,Kaneko,Youzou,自民,長崎3,2
金村 龍那,かねむら,りゅうな,Kanemura,Ryuuna,維新,（比）南関東,2
鎌田 さゆり,かまた,さゆり,Kamata,Sayuri,立憲,宮城2,4
上川 陽子,かみかわ,ようこ,Kamikawa,Youko,自民,静岡1,8
神谷 裕,かみや,ひろし,Kamiya,Hiroshi,立憲,北海道10,3
亀井 亜紀子,かめい,あきこ,Kamei,Akiko,立憲,島根1,3（参1）
川内 博史,かわうち,ひろし,Kawauchi,Hiroshi,立憲,鹿児島1,8
川崎 ひでと,かわさき,ひでと,Kawasaki,Hideto,自民,（比）東海,2
川原田 英世,かわはらだ,えいせい,Kawaharada,Eisei,立憲,（比）北海道,1
河村 たかし,かわむら,たかし,Kawamura,Takashi,保守,愛知1,6
神田 潤一,かんだ,じゅんいち,Kanda,Jun'ichi,自民,青森2,2
城井 崇,きい,たかし,Kii,Takashi,立憲,福岡10,5
城内 実,きうち,みのる,Kiuchi,Minoru,自民,静岡7,7
黄川田 仁志,きかわだ,ひとし,Kikawada,Hitoshi,自民,埼玉3,5
菊田 真紀子,きくた,まきこ,Kikuta,Makiko,立憲,新潟2,8
菊池 大二郎,きくち,だいじろう,Kikuchi,Daijirou,国民,（比）東北,1
岸 信千世,きし,のぶちよ,Kishi,Nobuchiyo,自民,山口2,2
岸田 文雄,きしだ,ふみお,Kishida,Fumio,自民,広島1,11
岸田 光広,きしだ,みつひろ,Kishida,Mitsuhiro,国民,（比）北関東,1
北神 圭朗,きたがみ,けいろう,Kitagami,Keirou,有志,京都4,5
北野 裕子,きたの,ゆうこ,Kitano,Yuuko,参政,（比）近畿,1
木原 誠二,きはら,せいじ,Kihara,Seiji,自民,東京20,6
木原 稔,きはら,みのる,Kihara,Minoru,自民,熊本1,6
吉良 州司,きら,しゅうじ,Kira,Shuuji,有志,大分1,7
金城 泰邦,きんじょう,やすくに,Kinjou,Yasukuni,公明,（比）九州,2
草間 剛,くさま,つよし,Kusama,Tsuyoshi,自民,神奈川19,1
櫛渕 万里,くしぶち,まり,Kushibuchi,Mari,れ新,（比）東京,3
工藤 彰三,くどう,しょうぞう,Kudou,Shouzou,自民,（比）東海,5
国定 勇人,くにさだ,いさと,Kunisada,Isato,自民,（比）北陸信越,2
国光 あやの,くにみつ,あやの,Kunimitsu,Ayano,自民,（比）北関東,3
栗原 渉,くりはら,わたる,Kurihara,Wataru,自民,福岡5,1
黒岩 宇洋,くろいわ,たかひろ,Kuroiwa,Takahiro,立憲,新潟3,4（参1）
黒田 征樹,くろだ,まさき,Kuroda,Masaki,維新,大阪16,1
玄葉 光一郎,げんば,こういちろう,Genba,Kouichirou,無,福島2,11
源馬 謙太郎,げんま,けんたろう,Genma,Kentarou,立憲,静岡8,3
小池 正昭,こいけ,まさあき,Koike,Masaaki,自民,千葉10,1
小泉 進次郎,こいずみ,しんじろう,Koizumi,Shinjirou,自民,神奈川11,6
小泉 龍司,こいずみ,りゅうじ,Koizumi,Ryuuji,自民,埼玉11,8
神津 たけし,こうづ,たけし,Kouzu,Takeshi,立憲,長野3,2
河野 太郎,こうの,たろう,Kouno,Tarou,自民,神奈川15,10
高村 正大,こうむら,まさひろ,Koumura,Masahiro,自民,山口1,3
古賀 篤,こが,あつし,Koga,Atsushi,自民,福岡3,5
國場 幸之助,こくば,こうのすけ,Kokuba,Kounosuke,自民,（比）九州,5
輿水 恵一,こしみず,けいいち,Koshimizu,Keiichi,公明,（比）北関東,4
小寺 裕雄,こてら,ひろお,Kotera,Hiroo,自民,（比）近畿,3
後藤 茂之,ごとう,しげゆき,Gotou,Shigeyuki,自民,長野4,8
後藤 祐一,ごとう,ゆういち,Gotou,Yuuichi,立憲,神奈川16,6
許斐 亮太郎,このみ,りょうたろう,Konomi,Ryoutarou,国民,（比）九州,1
小林 茂樹,こばやし,しげき,Kobayashi,Shigeki,自民,（比）近畿,4
小林 鷹之,こばやし,たかゆき,Kobayashi,Takayuki,自民,千葉2,5
小林 史明,こばやし,ふみあき,Kobayashi,Fumiaki,自民,広島6,5
小宮山 泰子,こみやま,やすこ,Komiyama,Yasuko,立憲,埼玉7,8
小森 卓郎,こもり,たくお,Komori,Takuo,自民,石川1,2
小山 千帆,こやま,ちほ,Koyama,Chiho,立憲,（比）東海,1
小山 展弘,こやま,のぶひろ,Koyama,Nobuhiro,立憲,静岡3,4
近藤 和也,こんどう,かずや,Kondou,Kazuya,立憲,石川3,4
近藤 昭一,こんどう,しょういち,Kondou,Shouichi,立憲,愛知3,10
