氏名,ふりがな（姓）,ふりがな（名）,ローマ字（姓）,ローマ字（名）,会派,選挙区,当選回数
氏名,ふりがな,,Furigana,,会派,選挙区,当選回数
萩生田 光一,はぎうだ,こういち,Hagiuda,Kouichi,自民,東京24,7
萩原 佳,はぎはら,けい,Hagihara,Kei,維新,大阪9,1
橋本 慧悟,はしもと,けいご,Hashimoto,Keigo,立憲,（比）近畿,1
橋本 幹彦,はしもと,みきひこ,Hashimoto,Mikihiko,国民,埼玉13,1
長谷川 嘉一,はせがわ,かいち,Hasegawa,Kaichi,立憲,（比）北関東,2
長谷川 淳二,はせがわ,じゅんじ,Hasegawa,Junji,自民,愛媛3,2
波多野 翼,はたの,つばさ,Hatano,Tsubasa,立憲,（比）北陸信越,1
鳩山 紀一郎,はとやま,きいちろう,Hatoyama,Kiichirou,国民,（比）東京,1
鳩山 二郎,はとやま,じろう,Hatoyama,Jirou,自民,福岡6,4
葉梨 康弘,はなし,やすひろ,Hanashi,Yasuhiro,自民,茨城3,7
馬場 伸幸,ばば,のぶゆき,Baba,Nobuyuki,維新,大阪17,5
馬場 雄基,ばば,ゆうき,Baba,Yuuki,立憲,（比）東北,2
浜田 靖一,はまだ,やすかず,Hamada,Yasukazu,自民,千葉12,11
浜地 雅一,はまち,まさかず,Hamachi,Masakazu,公明,（比）九州,5
林 佑美,はやし,ゆみ,Hayashi,Yumi,維新,（比）近畿,2
林 芳正,はやし,よしまさ,Hayashi,Yoshimasa,自民,山口3,2（参5）
原口 一博,はらぐち,かずひろ,Haraguchi,Kazuhiro,立憲,佐賀1,10
伴野 豊,ばんの,ゆたか,Banno,Yutaka,立憲,愛知8,7
日野 紗里亜,ひの,さりあ,Hino,Saria,国民,愛知7,1
平井 卓也,ひらい,たくや,Hirai,Takuya,自民,（比）四国,9
平岩 征樹,ひらいわ,まさき,Hiraiwa,Masaki,無,（比）近畿,1
平岡 秀夫,ひらおか,ひでお,Hiraoka,Hideo,立憲,（比）中国,6
平口 洋,ひらぐち,ひろし,Hiraguchi,Hiroshi,自民,広島2,6
平沢 勝栄,ひらさわ,かつえい,Hirasawa,Katsuei,自民,東京17,10
平沼 正二郎,ひらぬま,しょうじろう,Hiranuma,Shoujirou,自民,（比）中国,2
平林 晃,ひらばやし,あきら,Hirabayashi,Akira,公明,（比）中国,2
広瀬 建,ひろせ,けん,Hirose,Ken,自民,大分2,1
深作 ヘスス,ふかさく,へすす,Fukasaku,Hesusu,国民,（比）南関東,1
深澤 陽一,ふかざわ,よういち,Fukazawa,Youichi,自民,（比）東海,3
福重 隆浩,ふくしげ,たかひろ,Fukushige,Takahiro,公明,（比）北関東,2
福島 伸享,ふくしま,のぶゆき,Fukushima,Nobuyuki,有志,茨城1,4
福田 徹,ふくた,とおる,Fukuta,Tooru,国民,愛知16,1
福田 昭夫,ふくだ,あきお,Fukuda,Akio,立憲,栃木2,7
福田 かおる,ふくだ,かおる,Fukuda,Kaoru,自民,東京18,1
福田 玄,ふくだ,げん,Fukuda,Gen,国民,（比）中国,1
福田 淳太,ふくだ,じゅんた,Fukuda,Junta,立憲,（比）北陸信越,1
福田 達夫,ふくだ,たつお,Fukuda,Tatsuo,自民,群馬4,5
福原 淳嗣,ふくはら,じゅんじ,Fukuhara,Junji,自民,（比）東北,1
福森 和歌子,ふくもり,わかこ,Fukumori,Wakako,立憲,（比）東海,1
藤井 比早之,ふじい,ひさゆき,Fujii,Hisayuki,自民,兵庫4,5
藤岡 たかお,ふじおか,たかお,Fujioka,Takao,立憲,栃木4,2
藤田 文武,ふじた,ふみたけ,Fujita,Fumitake,維新,大阪12,3
藤巻 健太,ふじまき,けんた,Fujimaki,Kenta,維新,（比）南関東,2
藤丸 敏,ふじまる,さとし,Fujimaru,Satoshi,自民,福岡7,5
藤原 規眞,ふじわら,のりまさ,Fujiwara,Norimasa,立憲,愛知10,1
太 栄志,ふとり,ひでし,Futori,Hideshi,立憲,神奈川13,2
船田 元,ふなだ,はじめ,Funada,Hajime,自民,栃木1,14
古川 直季,ふるかわ,なおき,Furukawa,Naoki,自民,（比）南関東,2
古川 元久,ふるかわ,もとひさ,Furukawa,Motohisa,国民,愛知2,10
古川 康,ふるかわ,やすし,Furukawa,Yasushi,自民,（比）九州,4
古川 禎久,ふるかわ,よしひさ,Furukawa,Yoshihisa,自民,宮崎3,8
古屋 圭司,ふるや,けいじ,Furuya,Keiji,自民,岐阜5,12
穂坂 泰,ほさか,やすし,Hosaka,Yasushi,自民,埼玉4,3
星野 剛士,ほしの,つよし,Hoshino,Tsuyoshi,自民,（比）南関東,5
細野 豪志,ほその,ごうし,Hosono,Goushi,自民,静岡5,9
堀内 詔子,ほりうち,のりこ,Horiuchi,Noriko,自民,山梨2,5
堀川 あきこ,ほりかわ,あきこ,Horikawa,Akiko,共産,（比）近畿,1
本庄 知史,ほんじょう,さとし,Honjou,Satoshi,立憲,千葉8,2
本田 太郎,ほんだ,たろう,Honda,Tarou,自民,京都5,3
