氏名,ふりがな（姓）,ふりがな（名）,ローマ字（姓）,ローマ字（名）,会派,選挙区,当選回数
氏名,ふりがな,,Furigana,,会派,選挙区,当選回数
前原 誠司,まえはら,せいじ,Maehara,Seiji,維新,京都2,11
牧 義夫,まき,よしお,Maki,Yoshio,立憲,愛知4,8
牧島 かれん,まきしま,かれん,Makishima,Karen,自民,神奈川17,5
升田 世喜男,ますた,せきお,Masuta,Sekio,立憲,（比）東北,2
松尾 明弘,まつお,あきひろ,Matsuo,Akihiro,立憲,東京7,2
松木けんこう,まつき,けんこう,Matsuki,Kenkou,立憲,北海道2,7
松下 玲子,まつした,れいこ,Matsushita,Reiko,立憲,（比）東京,1
松島 みどり,まつしま,みどり,Matsushima,Midori,自民,東京14,8
松田 功,まつだ,いさお,Matsuda,Isao,立憲,（比）東海,2
松野 博一,まつの,ひろかず,Matsuno,Hirokazu,自民,千葉3,9
松原 仁,まつばら,じん,Matsubara,Jin,無,東京26,9
松本 剛明,まつもと,たけあき,Matsumoto,Takeaki,自民,兵庫11,9
松本 尚,まつもと,ひさし,Matsumoto,Hisashi,自民,千葉13,2
松本 洋平,まつもと,ようへい,Matsumoto,Youhei,自民,（比）東京,6
円 より子,まどか,よりこ,Madoka,Yoriko,国民,（比）東京,1（参3）
眞野 哲,まの,さとし,Mano,Satoshi,立憲,（比）東海,1
馬淵 澄夫,まぶち,すみお,Mabuchi,Sumio,立憲,奈良1,8
三木 圭恵,みき,けえ,Miki,Kee,維新,（比）近畿,3
水沼 秀幸,みずぬま,ひでゆき,Mizunuma,Hideyuki,立憲,千葉4,1
三角 創太,みすみ,そうた,Misumi,Souta,立憲,（比）北関東,1
三反園 訓,みたぞの,さとし,Mitazono,Satoshi,自民,鹿児島2,2
三谷 英弘,みたに,ひでひろ,Mitani,Hidehiro,自民,（比）南関東,4
道下 大樹,みちした,だいき,Michishita,Daiki,立憲,北海道1,3
緑川 貴士,みどりかわ,たかし,Midorikawa,Takashi,立憲,秋田2,3
美延 映夫,みのべ,てるお,Minobe,Teruo,維新,大阪4,3
御法川 信英,みのりかわ,のぶひで,Minorikawa,Nobuhide,自民,（比）東北,7
宮内 秀樹,みやうち,ひでき,Miyauchi,Hideki,自民,福岡4,5
宮川 伸,みやかわ,しん,Miyakawa,Shin,立憲,（比）南関東,2
宮崎 政久,みやざき,まさひさ,Miyazaki,Masahisa,自民,（比）九州,5
宮路 拓馬,みやじ,たくま,Miyaji,Takuma,自民,（比）九州,4
宮下 一郎,みやした,いちろう,Miyashita,Ichirou,自民,長野5,7
向山 淳,むこうやま,じゅん,Mukouyama,Jun,自民,（比）北海道,1
向山 好一,むこやま,こういち,Mukoyama,Kouichi,国民,（比）近畿,2
武藤 容治,むとう,ようじ,Mutou,Youji,自民,岐阜3,6
村井 英樹,むらい,ひでき,Murai,Hideki,自民,埼玉1,5
村岡 敏英,むらおか,としひで,Muraoka,Toshihide,国民,秋田3,3
村上 誠一郎,むらかみ,せいいちろう,Murakami,Seiichirou,自民,（比）四国,13
村上 智信,むらかみ,とものぶ,Murakami,Tomonobu,維新,福岡11,1
茂木 敏充,もてぎ,としみつ,Motegi,Toshimitsu,自民,栃木5,11
本村 伸子,もとむら,のぶこ,Motomura,Nobuko,共産,（比）東海,4
森 英介,もり,えいすけ,Mori,Eisuke,自民,千葉11,12
森 ようすけ,もり,ようすけ,Mori,Yousuke,国民,（比）東京,1
森下 千里,もりした,ちさと,Morishita,Chisato,自民,（比）東北,1
守島 正,もりしま,ただし,Morishima,Tadashi,維新,大阪2,2
森田 俊和,もりた,としかず,Morita,Toshikazu,立憲,埼玉12,3
森山 裕,もりやま,ひろし,Moriyama,Hiroshi,自民,鹿児島4,8（参1）
森山 浩行,もりやま,ひろゆき,Moriyama,Hiroyuki,立憲,（比）近畿,4
